s/n,subject,level,question,students_response,recipe,suggested_answer,,
74,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
75,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
76,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
77,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
78,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
79,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
80,Higher Chinese Language,Secondary 3,"<h2 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请阅读课文第三段，运用<strong>引用或举例论证法进行补充</strong>，以加强论证的效果。</span></h2>.\n",对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。比如，我们常常看到这样的情景：父亲工作一天回到家，累得只想刷手机放松，孩子想分享学校的趣事，却只得到父亲心不在焉的回应；或者母亲忙于家务，孩子几次想帮忙或倾诉烦恼，都被母亲以“别捣乱”或“等一下再说”打发掉。一次两次或许没什么，但长此以往，孩子会觉得父母并不关心自己的生活和感受，便渐渐不再主动与父母交流。父母也可能因不了解孩子的内心世界，在教育上产生误解和冲突。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text.</div>","<div class=\""paragraph\"">\n<ul>\n<li class=\""\"">\n<p class=\""\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<span style=\""color: #e03e2d;\""><strong>心理学家维吉尼亚·萨提尔说：“家庭沟通的方式，决定了一个孩子未来与世界沟通的方式。”</strong></span>可见，良好的家庭沟通对孩子的成长影响深远。如果家长平时能以耐心和关怀倾听孩子的烦恼，孩子便能在被理解的过程中建立自信，也更愿意表达自己。在这样的互动中，孩子学会如何与人相处、表达情感和解决问题，为将来融入社会打下良好基础。相反，如果家庭缺乏沟通，孩子容易感到孤单、不被重视，甚至发展出冷漠或逆反的性格。因此，一个懂得倾听与交流的家庭，不仅能建立亲情，还能塑造健全的人格。</p>\n</li>\n</ul>\n<div class=\""paragraph\""></div>\n<ul>\n<li class=\""paragraph\"">对家庭而言，沟通更是必不可少。现今社会生活节奏快，很多人早出晚归，终日忙碌，很少和家人沟通，以致与家人的关系渐渐疏远。其实，即使亲如家人，也需要经常交流。这样一来，孩子会更体恤父母的辛劳，父母会更了解孩子的心思，家庭氛围也会因此变得更加融洽。<strong><span style=\""color: #e03e2d;\"">根据新加坡家庭服务中心的一项调查，超过六成的问题青少年来自沟通不足或关系紧张的家庭环境。研究也指出，亲子之间若能保持稳定沟通，青少年的心理健康水平和自信心更高，出现行为偏差的几率也明显较低</span></strong>。这些数据清楚地显示，有效的家庭沟通不仅能改善亲子关系，也在孩子的情绪发展与行为表现上发挥关键作用。</li>\n</ul>\n</div>",,
81,,,"1. A Fearful Encounter

Scenario: You were walking home alone after your CCA ended late. Suddenly, you heard footsteps behind you…

Instructions:
Write a short paragraph describing the fearful encounter. Include:
What led up to the moment
What you saw, heard, or felt
How you reacted
How the situation ended

Tips:

Build suspense with short sentences.
Use sensory details (e.g. footsteps, shadows, cold wind).
Show your emotions clearly.","**A Fearful Encounter**\nIt was already past 8 p.m. when my CCA finally ended. The sky was an inky blue, and the streetlights cast long, flickering shadows on the pavement. My bag felt heavy on my shoulders, and the usually familiar walk home seemed eerily quiet. I was the last one to leave school, and the silence made my footsteps sound louder than usual.\nAs I turned down the narrow lane that led to my block, I suddenly heard it — footsteps. Slow. Deliberate. Just behind me.\nAt first, I thought it was my imagination. I quickened my pace slightly, and the footsteps did too. A chill ran down my spine. I dared not look back. My heart began to pound, and my breaths came faster.\n*Who could it be? Why were they following me?* \nI reached into my pocket for my phone, but my hands were trembling. The footsteps grew louder, quicker. I turned a sharp corner and broke into a run. My bag thumped against my back as I sprinted towards the main road, where I knew there would be people.\nThen I heard a voice behind me, breathless. “Wait! You dropped this!”\nI stopped in my tracks and spun around. A boy, around my age, was holding my water bottle. I had left it on the bench outside the school gate. His eyes widened in alarm, realizing he had frightened me.\n“I’m so sorry!” he said, holding up both hands in surrender. “I didn’t mean to scare you—I just wanted to return this.”\nRelief flooded through me, mixed with embarrassment. I took the bottle and mumbled a thank you, still catching my breath. The fear that had gripped me moments ago faded, replaced by laughter — nervous, but genuine.\nIt was a fearful encounter, yes — but also a reminder that sometimes, our minds can turn shadows into monsters.\n\n\n ","Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.","The sky had already turned dark when I left the school gate. The usually busy road was quiet, and even the coffeeshop at the corner was closing. As I walked past the playground, I heard soft footsteps behind me. I stopped. The footsteps stopped too. I turned around quickly, but the path was empty. My heart pounded. I quickened my pace, clutching my bag tightly. The sound came again, louder this time. Was someone following me? I remembered the stories my friends had told about this area being haunted. Just then, a cat dashed across the road. I gasped. To my great relief, it was just a stray cat knocking over a rubbish bin. I laughed nervously at myself. Maybe I had watched too many horror movies.",,
82,,,"1. A Fearful Encounter

Scenario: You were walking home alone after your CCA ended late. Suddenly, you heard footsteps behind you…

Instructions:
Write a short paragraph describing the fearful encounter. Include:
What led up to the moment
What you saw, heard, or felt
How you reacted
How the situation ended

Tips:

Build suspense with short sentences.
Use sensory details (e.g. footsteps, shadows, cold wind).
Show your emotions clearly.","**A Fearful Encounter**\nIt was already past 8 p.m. when my CCA finally ended. The sky was an inky blue, and the streetlights cast long, flickering shadows on the pavement. My bag felt heavy on my shoulders, and the usually familiar walk home seemed eerily quiet. I was the last one to leave school, and the silence made my footsteps sound louder than usual.\nAs I turned down the narrow lane that led to my block, I suddenly heard it — footsteps. Slow. Deliberate. Just behind me.\nAt first, I thought it was my imagination. I quickened my pace slightly, and the footsteps did too. A chill ran down my spine. I dared not look back. My heart began to pound, and my breaths came faster.\n*Who could it be? Why were they following me?* \nI reached into my pocket for my phone, but my hands were trembling. The footsteps grew louder, quicker. I turned a sharp corner and broke into a run. My bag thumped against my back as I sprinted towards the main road, where I knew there would be people.\nThen I heard a voice behind me, breathless. “Wait! You dropped this!”\nI stopped in my tracks and spun around. A boy, around my age, was holding my water bottle. I had left it on the bench outside the school gate. His eyes widened in alarm, realizing he had frightened me.\n“I’m so sorry!” he said, holding up both hands in surrender. “I didn’t mean to scare you—I just wanted to return this.”\nRelief flooded through me, mixed with embarrassment. I took the bottle and mumbled a thank you, still catching my breath. The fear that had gripped me moments ago faded, replaced by laughter — nervous, but genuine.\nIt was a fearful encounter, yes — but also a reminder that sometimes, our minds can turn shadows into monsters.\n\n\n ","Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.","The sky had already turned dark when I left the school gate. The usually busy road was quiet, and even the coffeeshop at the corner was closing. As I walked past the playground, I heard soft footsteps behind me. I stopped. The footsteps stopped too. I turned around quickly, but the path was empty. My heart pounded. I quickened my pace, clutching my bag tightly. The sound came again, louder this time. Was someone following me? I remembered the stories my friends had told about this area being haunted. Just then, a cat dashed across the road. I gasped. To my great relief, it was just a stray cat knocking over a rubbish bin. I laughed nervously at myself. Maybe I had watched too many horror movies.",,
83,,,"1. A Fearful Encounter

Scenario: You were walking home alone after your CCA ended late. Suddenly, you heard footsteps behind you…

Instructions:
Write a short paragraph describing the fearful encounter. Include:
What led up to the moment
What you saw, heard, or felt
How you reacted
How the situation ended

Tips:

Build suspense with short sentences.
Use sensory details (e.g. footsteps, shadows, cold wind).
Show your emotions clearly.","**A Fearful Encounter**\nIt was already past 8 p.m. when my CCA finally ended. The sky was an inky blue, and the streetlights cast long, flickering shadows on the pavement. My bag felt heavy on my shoulders, and the usually familiar walk home seemed eerily quiet. I was the last one to leave school, and the silence made my footsteps sound louder than usual.\nAs I turned down the narrow lane that led to my block, I suddenly heard it — footsteps. Slow. Deliberate. Just behind me.\nAt first, I thought it was my imagination. I quickened my pace slightly, and the footsteps did too. A chill ran down my spine. I dared not look back. My heart began to pound, and my breaths came faster.\n*Who could it be? Why were they following me?* \nI reached into my pocket for my phone, but my hands were trembling. The footsteps grew louder, quicker. I turned a sharp corner and broke into a run. My bag thumped against my back as I sprinted towards the main road, where I knew there would be people.\nThen I heard a voice behind me, breathless. “Wait! You dropped this!”\nI stopped in my tracks and spun around. A boy, around my age, was holding my water bottle. I had left it on the bench outside the school gate. His eyes widened in alarm, realizing he had frightened me.\n“I’m so sorry!” he said, holding up both hands in surrender. “I didn’t mean to scare you—I just wanted to return this.”\nRelief flooded through me, mixed with embarrassment. I took the bottle and mumbled a thank you, still catching my breath. The fear that had gripped me moments ago faded, replaced by laughter — nervous, but genuine.\nIt was a fearful encounter, yes — but also a reminder that sometimes, our minds can turn shadows into monsters.\n\n\n ","Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.","The sky had already turned dark when I left the school gate. The usually busy road was quiet, and even the coffeeshop at the corner was closing. As I walked past the playground, I heard soft footsteps behind me. I stopped. The footsteps stopped too. I turned around quickly, but the path was empty. My heart pounded. I quickened my pace, clutching my bag tightly. The sound came again, louder this time. Was someone following me? I remembered the stories my friends had told about this area being haunted. Just then, a cat dashed across the road. I gasped. To my great relief, it was just a stray cat knocking over a rubbish bin. I laughed nervously at myself. Maybe I had watched too many horror movies.",,
